Kana  ,English  ,Common Japanese  ,Kanji  
ちっかぶつ,nitride,,窒化物
,,,
,,,
こしょう,"lake, lakes and marshes",,湖沼
,,,
,,,
えんすい,lead weight,,鉛錘
,,,
,,,
にさんかたんそ,carbon dioxide,,二酸化炭素
,,,
,,,
かみきず,bite wound,,咬み傷
,,,
,,,
みずだこ,Giant Pacific octopus,,ミズダコ
,,,
,,,
れっか,deterioration,,劣化
,,,
,,,
しころ,neck protection,,シコロ
,,,
,,,
えいせん,"tugboat, towing",,曳船
,,,
,,,
げん,the side of a ship,,舷
,,,
,,,
しすうかんすう,exponential function,,指数関数
,,,
,,,
ちょうぼ,account book,,帳簿
,,,
,,,
ろうはいぶつ,waste matter,,老廃物
,,,
,,,
せっしゅ,"absorption, intake",,摂取
,,,
,,,
こしつ,"tympanus, eardrum",,鼓室
,,,
,,,
きおう,"past, previous",,既往
,,,
,,,
じょうと,transfer,,譲渡
,,,
,,,
あわせる,to match,,併せる
,,,
,,,
ほうれい,"law, ordinance",,法令
,,,
,,,
どくだんじょう,field in which one acts unchallenged,,独壇場
,,,